class,specobjid,ra,dec,z,sigma_forbidden,oiii_5007_flux,nii_6584_flux,h_beta_flux,h_alpha_flux,sii_6717_flux,sii_6731_flux,oi_6300_flux,h_alpha_eqw
GALAXY,307456744185948160,156.50783,-0.41347383,0.1663234,56.97549,1.088603,5.426132,16.50909,2.825245,1.448918,-3.908272,2.395628,-0.4851968
GALAXY,307464990523156480,156.72314,0.55805771,0.1739098,34.04865,1.630467,10.4851,11.79092,85.95993,10.64601,3.39007,1.595996,-2.394409
GALAXY,307482857587107840,157.6267,1.0766505,0.1069799,149.7767,21.98096,27.20098,8.674212,22.1914,10.28208,8.540344,7.955579,-1.399483
GALAXY,307497975871989760,157.93115,0.25594342,0.06474207,111.2315,28.93677,31.93891,26.8927,78.49799,12.87867,4.53449,4.132178,-0.9955712
GALAXY,308497156325533696,160.73477,-0.72716329,0.1071537,100.4788,16.09355,161.0438,50.2079,309.5171,39.64242,36.01213,9.320517,-22.40531
GALAXY,308510625342973952,160.32252,-1.0150933,0.1327774,1,2.271877,0.7183418,8.05298,18.54467,-0.08500557,-2.046105,-0.1967158,-0.7985037
GALAXY,308524094360414208,160.25733,-0.74632851,0.1383873,142.4846,8.289931,29.12504,12.28266,22.22999,0.2797607,-1.876834,2.303373,-0.7351267
GALAXY,308553506296457216,159.69972,-1.1716829,0.1397965,136.7752,6.377523,21.36072,3.171097,22.39311,1.769601,3.997008,1.243721,-2.477532
GALAXY,308601609930172416,159.69789,0.34746251,0.08118355,73.42776,5.597899,32.03607,19.85755,87.32563,13.63972,10.83291,1.94794,-9.818965
GALAXY,308605183342962688,159.52566,0.20684515,0.04987152,52.40629,9.034919,35.45694,17.28048,78.87081,22.93607,14.89874,4.135948,-8.316504
GALAXY,308615628703426560,159.88429,0.57020067,0.1313352,133.1959,7.026465,8.612902,11.89577,21.79958,6.169052,-0.5044286,2.293341,-1.010484
GALAXY,308626074063890432,160.00304,0.69172871,0.05120463,55.84302,42.95646,159.5952,111.8353,454.9724,70.03342,50.81787,12.03764,-35.20877
GALAXY,308627448453425152,160.12609,0.72652051,0.133196,158.9193,8.796228,19.67628,5.848781,17.49543,5.836078,7.601294,-0.9320409,-1.601159
GALAXY,308650263319701504,160.63524,0.12640288,0.1264369,143.6389,8.407326,6.650783,3.743124,17.00665,9.461783,2.52213,0.7654857,-1.299685
GALAXY,308657959901095936,160.82176,0.85235698,0.1240131,51.01118,1.599824,-0.6672205,3.132025,1.50509,-0.9025071,1.410904,0.2665069,-0.3398841
GALAXY,308670604284815360,161.1649,0.19871511,0.1495984,157.7713,6.002456,34.46488,9.758287,52.11134,13.96695,12.8907,-1.978742,-3.268912
GALAXY,309686003222734848,161.34978,-0.17392893,0.2124676,1,1.496518,2.337472,-1.060273,1.291404,0.7326933,0.4395499,-1.572755,-0.2878581
GALAXY,309689851513432064,161.02447,-0.96235284,0.02655639,56.28782,9.324209,5.004645,10.30646,27.51921,8.25189,5.583434,0.5251431,-8.252801
GALAXY,309694799315757056,160.93824,-0.42325978,0.03910941,125.2231,80.11001,336.8308,153.5979,569.7451,189.2198,129.5928,20.09785,-6.714083
GALAXY,309715690036684800,160.7587,0.9532548,0.1158859,59.49426,12.54831,104.4126,67.5917,280.8055,29.18503,20.55533,3.993105,-26.43857
GALAXY,309734106856450048,161.14194,0.97547928,0.150207,114.8648,7.408456,51.63475,26.65689,119.5279,21.47105,11.65716,4.171066,-14.9717
GALAXY,309735756123891712,161.11264,0.89652931,0.0755624,94.15478,535.3282,534.6296,403.7299,1726.547,275.1719,200.7014,53.06527,-118.7998
GALAXY,309750599530866688,161.44678,0.36196216,0.1149698,77.09542,4.756104,35.25598,23.65365,116.7802,15.42284,8.526398,2.93441,-11.69813
GALAXY,309755272455284736,161.55341,0.51311942,0.09437928,176.5726,14.73886,28.09205,14.96781,35.7004,18.85303,13.56139,0.4900262,-1.665522
GALAXY,309783584879699968,162.34459,0.39453197,0.03917246,29.62599,8.962004,2.526818,1.5123,10.30805,7.227879,2.692234,0.3783454,-0.3901287
GALAXY,309784409513420800,162.38129,0.74307213,0.1059287,182.1029,2.572496,30.15873,5.976018,18.72573,4.610724,7.151426,-5.122521,-0.7736136
GALAXY,311877879619151872,166.33731,-0.93731772,0.111276,72.86443,14.56438,71.05743,21.3295,92.78094,26.58281,17.98176,9.119078,-7.860647
GALAXY,311878704252872704,166.37348,-0.78752709,0.03146378,41.1912,32.2892,16.85044,26.07567,89.71168,24.86201,15.75829,3.763023,-17.31399
GALAXY,311919111305193472,165.54573,-0.72186215,0.3474137,26.07473,0.9745741,-4.542955,4.392919,10.30048,-2.243322,1.051299,3.154308,-2.020721
GALAXY,311926807886587904,165.45213,-0.35759962,0.1744339,1,0.7194969,3.201998,7.577713,9.576535,2.807381,2.947666,-0.6194406,-0.6827758
GALAXY,311964191281932288,164.64436,1.0370933,0.04016354,46.12637,13.41839,12.27903,16.15933,67.3025,17.38419,9.112283,0.8184485,-20.29905
GALAXY,311984807124953088,165.14796,0.86146499,0.08671006,117.5281,6.423772,7.67714,3.84057,10.41022,2.786741,5.876819,4.284022,-0.8719974
GALAXY,312026038810994688,166.454060343625,0.803952549073154,0,0,0,0,0,0,0,0,0,0
GALAXY,312039507828434944,166.3361,0.88809436,0.09598776,194.885,24.07694,53.95506,17.29124,52.59787,34.99755,19.60382,-5.486788,-1.539582
GALAXY,312043081241225216,166.31363,0.99053773,0.3346461,94.58414,58.45705,49.19447,42.6768,176.2331,24.56998,14.52907,2.558063,-53.57541
GALAXY,313014774508054528,167.62948,-1.2075299,0.02514922,37.83724,246.803,27.26354,86.5965,308.6047,47.71177,33.88424,5.719613,-99.77784
GALAXY,313035115473168384,167.17827,-1.1224112,0.1008038,168.9092,18.99142,48.28741,12.0163,62.0115,11.96015,14.95355,3.849043,-4.177515
GALAXY,313039513519679488,167.67798,0.05149405,0.1149315,124.4003,77.64609,99.65584,9.495851,75.53082,20.63093,13.56031,4.806105,-7.817778
GALAXY,313041987420841984,167.65773,0.032753349,0.1236514,95.96439,78.53394,257.2654,145.8499,781.7996,130.7542,98.67276,22.43099,-63.61802
GALAXY,313048584490608640,167.46757,-0.37452085,0.1143127,96.91151,0.4328848,64.50713,32.52839,180.8679,21.61461,22.35676,6.054584,-23.78049
GALAXY,313071124478978048,166.67662,-0.76713648,0.1126735,150.4892,14.40818,25.07461,4.469602,28.22271,13.84328,10.98318,5.834123,-2.125237
GALAXY,313072773746419712,166.95046,-0.1173137,0.06769258,36.08349,7.057868,20.95498,15.91925,57.124,12.84656,6.652719,2.839052,-9.088863
GALAXY,313099162025486336,166.76419,0.53572024,0.201963,15.45742,1.537112,-6.459096,2.48454,-1.389658,-3.95266,5.3332,1.581655,-0.09246524
GALAXY,313101635926648832,166.57039,1.1841038,0.0962928,74.94221,4.514679,19.93674,3.080384,13.1503,6.876085,2.660641,0.1086445,-0.8975258
GALAXY,313127749327808512,167.19346,0.3369204,0.08865393,54.45066,15.2881,54.56022,47.10691,176.049,35.87157,27.69617,5.209693,-20.66226
GALAXY,313129123717343232,167.2324,0.44480423,0.01290247,57.36226,6074.062,1743.394,3250.791,10285.94,1323.39,1014.631,181.0779,-117.4909
GALAXY,313145891269666816,167.62562,1.1193797,0.09651393,198.7962,13.48874,33.30744,6.892116,36.41266,15.2853,6.365406,-0.5907282,-1.796473
